The Less I Know The Better | Tame Impala | Alt/Indie | 3m38
Borderline | Tame Impala | Alt/Indie | 3m58
Notion | The Rare Occasions | Alt/Indie | 3m16
Carnivore | STARSET | Rock | 3m16
My Demons | STARSET | Rock | 4m00
Tek It | Cafune | Alt/Indie | 3m13
Remember When | Wallows | Alt/Indie | 2m36
Are You Bored Yet? | Wallows | Alt/Indie | 3m27
Holiday | Green Day | Rock | 4m42
American Idiot | Green Day | Rock | 3m03
Bad Dream | Stellar | Pop | 2m28
El Dorado | Stellar | Pop | 2m16
Devil Doesn't Bargain | Alec Benjamin | Pop | 2m44
Let Me Down Slowly | Alec Benjamin | Pop | 2m58
Boy In The Bubble | Alec Benjamin | Pop | 3m02
Do I Wanna Know? | Arctic Monkeys | Alt/Indie | 4m26
Little Talks | Of Monsters And Men | Alt/Indie | 4m15
Sugar | Maroon 5 | Pop | 5m02
Let Her Go | Passenger | Pop | 4m15
Perfect | Ed Sheeran | Pop | 4m40 
